id,innings,match_no,over,Ball No,batter,bowler,extra_type,batsman_run,extras_run,total_run,non_boundary,iswicket_delivery,player_out,dismisal_kind,fielders_involved,batting_team,,,outcome,over,Ball No,comment,batter,bowler,score,ballnumber,inningno,over
335983,1,1,7,5,Ambati Rayudu,Rashid Khan,NA,1,0,1,1,0,,NA,,,,,1,7,5,"Rashid Khan to Ambati Rayudu, 1 run,",Ambati Rayudu,Rashid Khan,1,48,1,7.5
335983,1,1,7,6,Ruturaj Gaikwad,Rashid Khan,NA,1,0,1,1,0,,NA,,,,,1,7,6,"Rashid Khan to Ruturaj Gaikwad, 1 run,",Ruturaj Gaikwad,Rashid Khan,1,49,1,7.6
335983,1,1,8,1,Ruturaj Gaikwad,Alzarri Joseph,NA,6,0,6,0,0,,NA,,,,,6,8,1,"Alzarri Joseph to Ruturaj Gaikwad, Six,",Ruturaj Gaikwad,Alzarri Joseph,6,50,1,8.1
335983,1,1,8,2,Ruturaj Gaikwad,Alzarri Joseph,NA,0,0,0,1,0,,NA,,,,,0,8,2,"Alzarri Joseph to Ruturaj Gaikwad, no run,",Ruturaj Gaikwad,Alzarri Joseph,0,51,1,8.2
335983,1,1,8,3,Ruturaj Gaikwad,Alzarri Joseph,NA,0,0,0,1,0,,NA,,,,,0,8,3,"Alzarri Joseph to Ruturaj Gaikwad, no run,",Ruturaj Gaikwad,Alzarri Joseph,0,52,1,8.3
335983,1,1,8,4,Ruturaj Gaikwad,Alzarri Joseph,NA,6,0,6,0,0,,NA,,,,,6,8,4,"Alzarri Joseph to Ruturaj Gaikwad, Six,",Ruturaj Gaikwad,Alzarri Joseph,6,53,1,8.4
335983,1,1,8,5,Ruturaj Gaikwad,Alzarri Joseph,NA,0,0,0,1,0,,NA,,,,,0,8,5,"Alzarri Joseph to Ruturaj Gaikwad, no run,",Ruturaj Gaikwad,Alzarri Joseph,0,54,1,8.5
335983,1,1,8,6,Ruturaj Gaikwad,Alzarri Joseph,NA,6,0,6,0,0,,NA,,,,,6,8,6,"Alzarri Joseph to Ruturaj Gaikwad, Six,",Ruturaj Gaikwad,Alzarri Joseph,6,55,1,8.6
335983,1,1,9,1,Ambati Rayudu,Rashid Khan,NA,0,0,0,1,0,,NA,,,,,0,9,1,"Rashid Khan to Ambati Rayudu, no run,",Ambati Rayudu,Rashid Khan,0,56,1,9.1
335983,1,1,9,2,Ambati Rayudu,Rashid Khan,NA,1,0,1,1,0,,NA,,,,,1,9,2,"Rashid Khan to Ambati Rayudu, 1 run,",Ambati Rayudu,Rashid Khan,1,57,1,9.2
335983,1,1,9,3,Ruturaj Gaikwad,Rashid Khan,NA,1,0,1,1,0,,NA,,,,,1,9,3,"Rashid Khan to Ruturaj Gaikwad, 1 run,",Ruturaj Gaikwad,Rashid Khan,1,58,1,9.3
335983,1,1,9,4,Ambati Rayudu,Rashid Khan,NA,1,0,1,1,0,,NA,,,,,1,9,4,"Rashid Khan to Ambati Rayudu, 1 run,",Ambati Rayudu,Rashid Khan,1,59,1,9.4
335983,1,1,9,5,Ruturaj Gaikwad,Rashid Khan,NA,0,0,0,1,0,,NA,,,,,0,9,5,"Rashid Khan to Ruturaj Gaikwad, no run,",Ruturaj Gaikwad,Rashid Khan,0,60,1,9.5
335983,1,1,9,6,Ruturaj Gaikwad,Rashid Khan,NA,0,0,0,1,0,,NA,,,,,0,9,6,"Rashid Khan to Ruturaj Gaikwad, no run,",Ruturaj Gaikwad,Rashid Khan,0,61,1,9.6
335983,1,1,10,1,Ambati Rayudu,Josh Little,NA,0,0,0,1,0,,NA,,,,,0,10,1,"Josh Little to Ambati Rayudu, no run,",Ambati Rayudu,Josh Little,0,62,1,10.1
335983,1,1,10,2,Ambati Rayudu,Josh Little,NA,0,0,0,1,0,,NA,,,,,0,10,2,"Josh Little to Ambati Rayudu, no run,",Ambati Rayudu,Josh Little,0,63,1,10.2
335983,1,1,10,3,Ambati Rayudu,Josh Little,NA,0,0,0,1,0,,NA,,,,,0,10,3,"Josh Little to Ambati Rayudu, no run,",Ambati Rayudu,Josh Little,0,64,1,10.3
335983,1,1,10,4,Ambati Rayudu,Josh Little,NA,1,0,1,1,0,,NA,,,,,1,10,4,"Josh Little to Ambati Rayudu, 1 run,",Ambati Rayudu,Josh Little,1,65,1,10.4
335983,1,1,10,5,Ruturaj Gaikwad,Josh Little,NA,0,0,0,1,0,,NA,,,,,0,10,5,"Josh Little to Ruturaj Gaikwad, no run,",Ruturaj Gaikwad,Josh Little,0,66,1,10.5
335983,1,1,10,6,Ruturaj Gaikwad,Josh Little,NA,6,0,6,0,0,,NA,,,,,6,10,6,"Josh Little to Ruturaj Gaikwad, Six,",Ruturaj Gaikwad,Josh Little,6,67,1,10.6
335983,1,1,11,1,Ambati Rayudu,Yash Dayal,NA,1,0,1,1,0,,NA,,,,,1,11,1,"Yash Dayal to Ambati Rayudu, 1 run,",Ambati Rayudu,Yash Dayal,1,68,1,11.1
335983,1,1,11,2,Ruturaj Gaikwad,Yash Dayal,NA,0,0,0,1,0,,NA,,,,,0,11,2,"Yash Dayal to Ruturaj Gaikwad, no run,",Ruturaj Gaikwad,Yash Dayal,0,69,1,11.2
